Name,z,ObsID,mass,mass_e,mass_E,mass_f,NH,NH_low,NH_high,KT,KT_low,KT_high,Tau,Tau_low,Tau_high,Fe line,Fe EW (KeV),chi^2,dof,model,fl_obs_210,fl_obs_2040,fl_int_210,fl_int_2040,fl_refl_210,fl_refl_2040,lum210,lum2040,gamma,theta,yy,gTortosa,ratio_210,ratio_2040
ESO323mG081,0.015,60161526002,6.98,0,0,2,6.14313E-08,0,0,13.0661,9.6131,19.1917,7.15587,4.82499,8.65279,6.49073,0.277863,48.6739,43,WA*COMPTT+GA+PEX,4.69002E-13,4.1026E-13,4.68629E-13,4.10258E-13,9.23137E-22,2.99054E-21,0.00235066,0.00206461,1.18012229817402,0.025569667318982,6.57974721718691,1.48032900774866,1.96986742177714E-09,7.28941300352461E-09
NGC5273,0.0035,60061350002,6.66,0.13,0.19,1,1.33096,0,0,143.04,,,0.86,0.77,0.97,6.16836,0.167735,758.755,702,WA*COMPTT+GA+PEX,1.74713E-11,1.80443E-11,1.9305E-11,1.80534E-11,5.39741E-13,3.87027E-12,0.00520134,0.00486422,1.92335749178469,0.279921722113503,3.79646763236109,1.67275167458247,0.027958611758612,0.214379008940144
IC4329A,0.016,60001045002,7.84,0,0,2,0.585225,0,0,35.7785,30.7982,41.6613,3.06775,2.68856,3.47647,6.27125,0.0727909,2767.49,2277,WA*COMPTT+GA+PEX,1.03543E-10,7.84158E-11,1.08641E-10,7.84339E-11,2.90358E-12,1.51484E-11,0.622195,0.450333,1.3407074708803,0.070016634050881,4.47371159328637,1.61283386191184,0.026726374020858,0.19313587619639
UM614,0.0327,60160560002,7.09,0,0,2,2.61804,0,0,27.025,,,3.27,2.83,3.77,6.2995,0.0405427,322.597,351,WA*COMPTT+GA+PEX,6.48529E-12,5.83578E-12,7.9516E-12,5.84054E-12,3.48799E-13,2.19819E-12,0.195032,0.143329,1.39109397892429,0.052886497064579,3.57865906326569,1.69485893377575,0.043865259821923,0.376367596146932
NGC5548,0.0172,60002044008,7.72,0.02,0.02,1,3.94829,0,0,39.2714,29.3226,57.4523,3.37881,2.47002,4.20116,6.26988,0.110878,1250.09,1270,WA*COMPTT+GA+PEX,2.63102E-11,3.22081E-11,3.39247E-11,3.22557E-11,1.38571E-12,7.40308E-12,0.22435,0.213895,1.26205193271183,0.076852054794521,5.94629646441571,1.51400645725764,0.040846639763948,0.229512303251828
Mrk813,0.1105,60160583002,8.87,0,0,2,1.16847,0,0,29.7698,,,2.21,1.99,2.47,0,0,487.012,461,WA*COMPTT+GA+PEX,7.94936E-12,4.96852E-12,8.86535E-12,4.96995E-12,4.87627E-13,2.59281E-12,2.81617,1.57019,1.71039727496547,0.058257925636008,2.03838660692175,1.92066743109771,0.055003694157591,0.521697401382308
Mrk817,0.0314,60160590002,7.59,0.06,0.07,1,5.23117,0,0,169.637,,,0.27,0.21,0.33,6.09,0.179,425.627,449,WA*COMPTT+GA+PEX,7.00487E-12,7.12835E-12,1.04531E-11,7.13562E-12,6.41263E-13,4.43376E-12,0.237972,0.160737,5.26549132605791,0.331970645792564,1.05995695961122,2.22107340166435,0.061346681845577,0.6213559578565
IGRJ14471m6414,0.053,60061257002,7.7,0,0,2,1.26637,0,0,60.08,,,1.43,1.14,1.85,6.36021,0.100766,203.008,192,WA*COMPTT+GA+PEX,4.15094E-12,3.07722E-12,4.63341E-12,3.07843E-12,1.7237E-13,1.16286E-12,0.308323,0.20373,1.81721068096993,0.117573385518591,2.40278756636869,1.8517361337508,0.037201542708286,0.377744499631306
IGRJ14552m5133,0.016,60061259002,6.86,0,0,2,1.26779,0,0,56.6209,,,1.32,1.16,1.51,6.21176,0.135877,355.932,388,WA*COMPTT+GA+PEX,6.37966E-12,5.11702E-12,7.12659E-12,5.11847E-12,4.62805E-13,2.87916E-12,0.0409649,0.0293804,1.97683274014043,0.110804109589041,1.95888636112999,1.93772246971902,0.064940595712676,0.562504029524448
Mrk841,0.0364,60101023002,7.81,0,0,2,1.28735,0,0,57.9331,27.6717,216.566,1.67608,0.415743,3.30755,6.17208,0.0759742,633.184,670,WA*COMPTT+GA+PEX,1.66163E-11,1.15505E-11,1.85171E-11,1.1556E-11,5.40147E-13,3.06884E-12,0.56598,0.354538,1.64589478268084,0.113372015655577,2.95645426362528,1.76834379847651,0.029170172435209,0.265562478366217
Mrk1392,0.0361,60160605002,7.59,0,0,2,0.480647,0,0,41.33,,,2.02,1.72,2.41,6.22632,0.122094,347.785,312,WA*COMPTT+GA+PEX,5.1281E-12,4.01825E-12,5.34974E-12,4.01877E-12,2.66277E-13,1.82615E-12,0.161024,0.120422,1.62662949142561,0.080880626223092,2.61212610371805,1.81767884966996,0.049773820783814,0.45440520358219
2MASXJ15144217m8123377,0.0684,60061263002,8.96,0,0,2,3.4098,0,0,39.2,19.4893,227.11,2.69334,0.410873,5.0566,6.144,0.21,167.199,203,WA*COMPTT+GA+PEX,4.98863E-12,5.12597E-12,6.33991E-12,5.13152E-12,3.76691E-13,1.85771E-12,0.708795,0.581183,1.39677717082886,0.076712328767123,3.98897342899286,1.65446589685413,0.059415827669478,0.362019440633574
